team1,team2,win
pet-beetle,pet-sheep,1
pet-beetle,pet-snail,0
pet-beetle,pet-tropical-fish,2
pet-beetle,pet-turtle,0
pet-beetle,pet-whale,1
pet-beetle,pet-bison,1
pet-beetle,pet-buffalo,1
pet-beetle,pet-deer,1
pet-beetle,pet-dolphin,1
pet-beetle,pet-hippo,1
pet-beetle,pet-llama,1
pet-beetle,pet-lobster,1
pet-beetle,pet-monkey,0
pet-beetle,pet-penguin,0
pet-beetle,pet-poodle,0
pet-beetle,pet-rooster,1
pet-beetle,pet-skunk,1
pet-beetle,pet-squirrel,0
pet-beetle,pet-worm,0
pet-beetle,pet-chicken,0
pet-beetle,pet-cow,1
pet-beetle,pet-crocodile,1
pet-beetle,pet-eagle,1
pet-beetle,pet-goat,1
pet-beetle,pet-microbe,0
pet-beetle,pet-parrot,1
pet-beetle,pet-rhino,1
pet-beetle,pet-scorpion,2
pet-beetle,pet-seal,1
pet-beetle,pet-turkey,1
pet-beetle,pet-cat,1
pet-beetle,pet-boar,1
pet-beetle,pet-dragon,1
pet-beetle,pet-fly,1
pet-beetle,pet-gorilla,1
pet-beetle,pet-leopard,1
pet-beetle,pet-mammoth,1
pet-beetle,pet-octopus,1
pet-beetle,pet-sauropod,1
pet-beetle,pet-snake,1
pet-beetle,pet-tiger,1
pet-beetle,pet-tyrannosaurus,1
pet-beetle,pet-dirty-rat,0
pet-beetle,pet-butterfly,2
pet-beetle,pet-bee,0
pet-beetle,pet-none,0
pet-bluebird,pet-bluebird,2
pet-bluebird,pet-cricket,1
pet-bluebird,pet-duck,1
pet-bluebird,pet-fish,1
pet-bluebird,pet-horse,2
pet-bluebird,pet-ladybug,1
pet-bluebird,pet-mosquito,1
pet-bluebird,pet-otter,2
pet-bluebird,pet-pig,2
pet-bluebird,pet-sloth,2
pet-bluebird,pet-bat,2
pet-bluebird,pet-crab,1
pet-bluebird,pet-dodo,1
pet-bluebird,pet-dog,2
pet-bluebird,pet-dromedary,1
pet-bluebird,pet-elephant,1
pet-bluebird,pet-flamingo,2
pet-bluebird,pet-hedgehog,2
pet-bluebird,pet-peacock,1
pet-bluebird,pet-rat,1
pet-bluebird,pet-shrimp,1
pet-bluebird,pet-spider,1
pet-bluebird,pet-swan,1
pet-bluebird,pet-tabby-cat,1
pet-bluebird,pet-badger,1
pet-bluebird,pet-blowfish,1
pet-bluebird,pet-caterpillar,1
pet-bluebird,pet-camel,1
pet-bluebird,pet-hatching-chick,2
pet-bluebird,pet-giraffe,1
pet-bluebird,pet-kangaroo,2
pet-bluebird,pet-owl,1
pet-bluebird,pet-ox,1
pet-bluebird,pet-puppy,2
pet-bluebird,pet-rabbit,2
pet-bluebird,pet-sheep,1
pet-bluebird,pet-snail,2
pet-bluebird,pet-tropical-fish,1
pet-bluebird,pet-turtle,2
pet-bluebird,pet-whale,1
pet-bluebird,pet-bison,1
pet-bluebird,pet-buffalo,1
pet-bluebird,pet-deer,1
pet-bluebird,pet-dolphin,1
pet-bluebird,pet-hippo,1
pet-bluebird,pet-llama,1
pet-bluebird,pet-lobster,1
pet-bluebird,pet-monkey,2
pet-bluebird,pet-penguin,2
pet-bluebird,pet-poodle,2
pet-bluebird,pet-rooster,1
pet-bluebird,pet-skunk,1
pet-bluebird,pet-squirrel,2
pet-bluebird,pet-worm,2
pet-bluebird,pet-chicken,2
pet-bluebird,pet-cow,1
pet-bluebird,pet-crocodile,1
pet-bluebird,pet-eagle,1
pet-bluebird,pet-goat,1
pet-bluebird,pet-microbe,2
pet-bluebird,pet-parrot,1
pet-bluebird,pet-rhino,1
pet-bluebird,pet-scorpion,2
pet-bluebird,pet-seal,1
