team1,team2,win,team1_tier,team2_tier
pet-octopus.pet-ladybug.pet-flamingo,pet-turtle.pet-dodo.pet-skunk,1,9,9
pet-giraffe.pet-cricket.pet-sheep,pet-worm.pet-worm.pet-fish,0,7,9
pet-skunk.pet-ant.pet-parrot,pet-sauropod.pet-scorpion.pet-pig,1,9,12
pet-shrimp.pet-sloth.pet-sauropod,pet-turtle.pet-ox.pet-shrimp,0,9,8
pet-rabbit.pet-scorpion.pet-hippo,pet-elephant.pet-swan.pet-scorpion,2,12,9
pet-snail.pet-snake.pet-snail,pet-rabbit.pet-deer.pet-snail,2,12,10
pet-skunk.pet-lobster.pet-hedgehog,pet-owl.pet-crocodile.pet-ox,1,10,11
pet-crocodile.pet-hedgehog.pet-ox,pet-badger.pet-snake.pet-puppy,0,10,12
pet-owl.pet-rat.pet-sloth,pet-eagle.pet-ox.pet-whale,1,6,12
pet-spider.pet-dromedary.pet-monkey,pet-octopus.pet-rhino.pet-turtle,1,9,14
pet-fly.pet-whale.pet-deer,pet-hatching-chick.pet-sauropod.pet-cat,0,14,15
pet-elephant.pet-rat.pet-rat,pet-bison.pet-whale.pet-octopus,1,6,14
pet-bluebird.pet-hatching-chick.pet-cow,pet-camel.pet-dirty-rat.pet-poodle,1,9,8
pet-worm.pet-fish.pet-rhino,pet-microbe.pet-lobster.pet-dodo,0,10,10
pet-horse.pet-sloth.pet-skunk,pet-leopard.pet-sauropod.pet-rooster,1,6,16
pet-boar.pet-horse.pet-lobster,pet-elephant.pet-ox.pet-duck,0,11,6
pet-boar.pet-chicken.pet-tropical-fish,pet-blowfish.pet-tabby-cat.pet-caterpillar,0,14,8
pet-deer.pet-bluebird.pet-scorpion,pet-hatching-chick.pet-seal.pet-crocodile,0,10,13
pet-cat.pet-cat.pet-worm,pet-ant.pet-mosquito.pet-butterfly,0,16,2
pet-sauropod.pet-kangaroo.pet-dolphin,pet-fly.pet-rhino.pet-dodo,1,13,13
pet-hedgehog.pet-beetle.pet-cricket,pet-rhino.pet-deer.pet-cat,1,4,15
pet-boar.pet-parrot.pet-tiger,pet-sheep.pet-swan.pet-hatching-chick,0,16,8
pet-spider.pet-eagle.pet-otter,pet-blowfish.pet-fly.pet-skunk,1,8,13
pet-mammoth.pet-scorpion.pet-hatching-chick,pet-squirrel.pet-rooster.pet-lobster,0,14,12
pet-cricket.pet-sauropod.pet-turtle,pet-none.pet-fly.pet-ladybug,1,10,7
pet-spider.pet-bee.pet-leopard,pet-cricket.pet-mammoth.pet-bat,2,8,9
pet-dolphin.pet-rooster.pet-fish,pet-dirty-rat.pet-turtle.pet-rat,0,9,5
pet-otter.pet-beaver.pet-dromedary,pet-tabby-cat.pet-giraffe.pet-rooster,1,4,9
pet-leopard.pet-dolphin.pet-bat,pet-rooster.pet-badger.pet-fish,0,12,8
pet-peacock.pet-octopus.pet-hatching-chick,pet-rhino.pet-dromedary.pet-spider,1,11,9
pet-tyrannosaurus.pet-cat.pet-buffalo,pet-puppy.pet-turkey.pet-mammoth,0,16,14
pet-buffalo.pet-bison.pet-sauropod,pet-cow.pet-horse.pet-rat,0,14,8
pet-squirrel.pet-beetle.pet-octopus,pet-spider.pet-ant.pet-leopard,2,11,9
pet-dodo.pet-blowfish.pet-bat,pet-shrimp.pet-eagle.pet-dog,1,7,10
pet-shrimp.pet-eagle.pet-puppy,pet-tropical-fish.pet-poodle.pet-hatching-chick,0,10,11
pet-fly.pet-elephant.pet-bat,pet-bat.pet-horse.pet-penguin,0,10,7
pet-elephant.pet-leopard.pet-tiger,pet-lobster.pet-tropical-fish.pet-none,0,14,7
pet-snail.pet-skunk.pet-owl,pet-none.pet-buffalo.pet-swan,0,10,6
pet-tyrannosaurus.pet-beetle.pet-rabbit,pet-bluebird.pet-ant.pet-whale,1,10,6
pet-badger.pet-rat.pet-dolphin,pet-gorilla.pet-dodo.pet-spider,0,9,10
pet-tyrannosaurus.pet-puppy.pet-ant,pet-dromedary.pet-cow.pet-sheep,1,10,10
pet-buffalo.pet-boar.pet-peacock,pet-blowfish.pet-dragon.pet-none,0,12,9
pet-horse.pet-giraffe.pet-puppy,pet-hippo.pet-camel.pet-ant,1,7,8
pet-skunk.pet-swan.pet-cow,pet-fly.pet-turtle.pet-scorpion,0,11,14
pet-microbe.pet-blowfish.pet-rabbit,pet-spider.pet-sheep.pet-sheep,1,10,8
pet-whale.pet-parrot.pet-rooster,pet-otter.pet-mammoth.pet-poodle,0,12,12
pet-duck.pet-gorilla.pet-spider,pet-badger.pet-buffalo.pet-buffalo,1,9,11
pet-blowfish.pet-bee.pet-turtle,pet-snake.pet-otter.pet-mosquito,1,6,8
pet-squirrel.pet-cat.pet-snail,pet-rabbit.pet-rabbit.pet-deer,1,13,10
pet-fish.pet-monkey.pet-dolphin,pet-crab.pet-cow.pet-squirrel,2,10,11
pet-sheep.pet-goat.pet-kangaroo,pet-cow.pet-whale.pet-deer,2,11,13
pet-bison.pet-puppy.pet-tabby-cat,pet-dog.pet-microbe.pet-cricket,0,9,8
pet-beaver.pet-caterpillar.pet-beetle,pet-kangaroo.pet-worm.pet-tabby-cat,2,5,9
pet-duck.pet-shrimp.pet-whale,pet-kangaroo.pet-skunk.pet-cat,1,7,13
pet-monkey.pet-eagle.pet-squirrel,pet-octopus.pet-gorilla.pet-turtle,1,14,15
pet-crocodile.pet-monkey.pet-ox,pet-turkey.pet-fly.pet-fish,1,13,12
pet-puppy.pet-dodo.pet-sauropod,pet-scorpion.pet-ant.pet-spider,0,11,8
pet-rabbit.pet-ox.pet-squirrel,pet-shrimp.pet-eagle.pet-mosquito,1,10,8
pet-seal.pet-hippo.pet-shrimp,pet-turtle.pet-cow.pet-flamingo,0,11,10
pet-bee.pet-cat.pet-eagle,pet-crab.pet-seal.pet-crab,0,11,9
pet-goat.pet-puppy.pet-mammoth,pet-sauropod.pet-seal.pet-snake,1,14,17
pet-rooster.pet-cricket.pet-leopard,pet-seal.pet-butterfly.pet-crocodile,1,11,10
pet-lobster.pet-ox.pet-spider,pet-cow.pet-butterfly.pet-gorilla,1,9,11
pet-rooster.pet-mosquito.pet-dragon,pet-horse.pet-bat.pet-squirrel,0,11,7
pet-none.pet-dirty-rat.pet-owl,pet-cricket.pet-cricket.pet-beaver,1,3,3
pet-fish.pet-puppy.pet-blowfish,pet-dolphin.pet-squirrel.pet-crab,1,7,10
pet-tyrannosaurus.pet-bluebird.pet-whale,pet-dodo.pet-ladybug.pet-snail,0,11,6
pet-butterfly.pet-monkey.pet-tabby-cat,pet-kangaroo.pet-hedgehog.pet-hedgehog,2,7,7
pet-bluebird.pet-snail.pet-tyrannosaurus,pet-cat.pet-sloth.pet-monkey,1,10,12
pet-tyrannosaurus.pet-penguin.pet-poodle,pet-hatching-chick.pet-ladybug.pet-bee,0,15,4
pet-fly.pet-pig.pet-hippo,pet-bison.pet-parrot.pet-dodo,0,11,10
pet-hatching-chick.pet-puppy.pet-rhino,pet-horse.pet-dragon.pet-ant,1,11,8
pet-sauropod.pet-bat.pet-ox,pet-snake.pet-ant.pet-microbe,0,11,11
pet-tyrannosaurus.pet-turtle.pet-kangaroo,pet-puppy.pet-none.pet-ox,0,12,6
pet-peacock.pet-turtle.pet-mammoth,pet-lobster.pet-hatching-chick.pet-tyrannosaurus,0,11,13
pet-fly.pet-ant.pet-chicken,pet-mosquito.pet-boar.pet-gorilla,1,12,13
pet-sauropod.pet-lobster.pet-kangaroo,pet-tropical-fish.pet-turkey.pet-caterpillar,0,13,11
pet-rhino.pet-rat.pet-mammoth,pet-spider.pet-kangaroo.pet-rooster,0,13,9
pet-rooster.pet-hedgehog.pet-beaver,pet-butterfly.pet-rooster.pet-flamingo,2,7,6
pet-bison.pet-ox.pet-rooster,pet-dirty-rat.pet-dragon.pet-hippo,1,11,10
pet-beetle.pet-penguin.pet-snail,pet-cricket.pet-monkey.pet-beaver,2,8,7
pet-bluebird.pet-parrot.pet-dodo,pet-peacock.pet-goat.pet-ant,1,7,8
pet-bee.pet-lobster.pet-llama,pet-gorilla.pet-peacock.pet-rhino,1,8,13
pet-buffalo.pet-horse.pet-lobster,pet-octopus.pet-swan.pet-tabby-cat,1,9,10
pet-snail.pet-boar.pet-skunk,pet-sheep.pet-fly.pet-bluebird,1,13,10
pet-crab.pet-tabby-cat.pet-dromedary,pet-hedgehog.pet-tropical-fish.pet-snake,1,6,11
pet-bison.pet-buffalo.pet-fish,pet-duck.pet-microbe.pet-bat,0,9,7
pet-hedgehog.pet-tyrannosaurus.pet-cat,pet-ladybug.pet-fly.pet-owl,1,14,10
pet-hedgehog.pet-dragon.pet-peacock,pet-cat.pet-fly.pet-poodle,1,10,17
pet-mosquito.pet-whale.pet-seal,pet-tyrannosaurus.pet-boar.pet-duck,1,10,13
pet-crocodile.pet-dog.pet-chicken,pet-otter.pet-deer.pet-kangaroo,0,13,8
pet-gorilla.pet-rooster.pet-owl,pet-caterpillar.pet-leopard.pet-dodo,0,13,11
pet-skunk.pet-snail.pet-none,pet-giraffe.pet-bison.pet-beaver,1,7,8
pet-crab.pet-scorpion.pet-fish,pet-shrimp.pet-peacock.pet-microbe,0,8,8
pet-puppy.pet-badger.pet-leopard,pet-llama.pet-blowfish.pet-rat,2,12,9
pet-rat.pet-fish.pet-dolphin,pet-hatching-chick.pet-squirrel.pet-camel,0,7,10
pet-leopard.pet-squirrel.pet-mammoth,pet-bee.pet-shrimp.pet-caterpillar,0,16,5
pet-fly.pet-snake.pet-bee,pet-skunk.pet-dog.pet-blowfish,0,12,10
pet-sheep.pet-caterpillar.pet-sauropod,pet-rooster.pet-deer.pet-giraffe,1,12,11
pet-puppy.pet-scorpion.pet-bluebird,pet-scorpion.pet-leopard.pet-eagle,1,9,16
pet-bat.pet-camel.pet-dragon,pet-hippo.pet-crab.pet-eagle,1,11,11
pet-rat.pet-rooster.pet-caterpillar,pet-gorilla.pet-crab.pet-bat,1,9,10
pet-turtle.pet-giraffe.pet-beetle,pet-dromedary.pet-whale.pet-buffalo,1,7,10
pet-sheep.pet-cow.pet-blowfish,pet-poodle.pet-bat.pet-otter,0,11,8
pet-rabbit.pet-otter.pet-leopard,pet-sloth.pet-peacock.pet-octopus,2,10,9
pet-hedgehog.pet-hedgehog.pet-turkey,pet-rabbit.pet-fly.pet-rabbit,1,9,12
pet-bluebird.pet-bison.pet-tiger,pet-dromedary.pet-dog.pet-rat,0,11,7
pet-bee.pet-otter.pet-pig,pet-microbe.pet-ox.pet-mammoth,1,2,13
pet-fish.pet-boar.pet-dog,pet-bee.pet-squirrel.pet-tyrannosaurus,0,10,10
pet-octopus.pet-snail.pet-caterpillar,pet-buffalo.pet-rat.pet-camel,2,12,9
pet-bison.pet-chicken.pet-kangaroo,pet-pig.pet-ant.pet-scorpion,0,12,7
pet-hatching-chick.pet-snake.pet-dragon,pet-sloth.pet-snake.pet-dolphin,2,15,11
pet-cat.pet-squirrel.pet-sauropod,pet-rooster.pet-rabbit.pet-cricket,0,16,8
pet-rooster.pet-cat.pet-horse,pet-fly.pet-sloth.pet-monkey,1,11,12
pet-flamingo.pet-dog.pet-peacock,pet-whale.pet-rhino.pet-seal,1,7,14
pet-cow.pet-hippo.pet-hatching-chick,pet-lobster.pet-cricket.pet-deer,0,12,9
pet-buffalo.pet-dolphin.pet-peacock,pet-sloth.pet-sauropod.pet-elephant,0,10,9
pet-penguin.pet-camel.pet-swan,pet-pig.pet-cricket.pet-snail,0,9,5
pet-rabbit.pet-turtle.pet-tropical-fish,pet-ox.pet-duck.pet-hatching-chick,0,9,7
pet-elephant.pet-worm.pet-hatching-chick,pet-snake.pet-kangaroo.pet-otter,1,9,10
pet-rooster.pet-deer.pet-ladybug,pet-duck.pet-dog.pet-butterfly,0,9,4
pet-hippo.pet-squirrel.pet-chicken,pet-scorpion.pet-rhino.pet-caterpillar,1,13,13
pet-otter.pet-crocodile.pet-puppy,pet-blowfish.pet-peacock.pet-rabbit,2,9,8
pet-chicken.pet-bluebird.pet-fly,pet-otter.pet-sloth.pet-octopus,0,12,8
pet-camel.pet-camel.pet-bluebird,pet-dragon.pet-lobster.pet-mammoth,1,7,16
pet-snake.pet-lobster.pet-shrimp,pet-dodo.pet-penguin.pet-bee,0,12,6
pet-dromedary.pet-ladybug.pet-caterpillar,pet-snail.pet-bat.pet-cow,1,6,10
pet-snail.pet-pig.pet-kangaroo,pet-dodo.pet-pig.pet-worm,2,7,7
pet-beetle.pet-whale.pet-sheep,pet-dolphin.pet-rabbit.pet-fish,2,8,8
pet-none.pet-horse.pet-sheep,pet-snake.pet-tiger.pet-dromedary,1,4,14
pet-elephant.pet-poodle.pet-worm,pet-shrimp.pet-bison.pet-peacock,1,11,8
pet-rat.pet-otter.pet-none,pet-sheep.pet-snake.pet-tyrannosaurus,1,3,15
pet-tropical-fish.pet-camel.pet-snake,pet-duck.pet-crab.pet-dodo,0,12,5
pet-beaver.pet-dodo.pet-fish,pet-scorpion.pet-llama.pet-swan,1,4,11
pet-rooster.pet-dolphin.pet-spider,pet-hippo.pet-cow.pet-peacock,1,10,11
pet-rabbit.pet-scorpion.pet-owl,pet-camel.pet-beetle.pet-dolphin,1,11,8
pet-hedgehog.pet-gorilla.pet-kangaroo,pet-deer.pet-elephant.pet-flamingo,0,11,8
pet-sloth.pet-bluebird.pet-ox,pet-beaver.pet-ox.pet-monkey,1,5,9
pet-none.pet-scorpion.pet-badger,pet-peacock.pet-cricket.pet-bison,2,8,7
pet-rhino.pet-scorpion.pet-crab,pet-deer.pet-camel.pet-penguin,0,12,11
pet-caterpillar.pet-dolphin.pet-monkey,pet-dolphin.pet-gorilla.pet-flamingo,1,12,12
pet-spider.pet-rooster.pet-duck,pet-crocodile.pet-caterpillar.pet-crab,0,7,10
pet-beaver.pet-sloth.pet-dromedary,pet-leopard.pet-rooster.pet-kangaroo,1,4,13
pet-parrot.pet-tyrannosaurus.pet-duck,pet-beaver.pet-turkey.pet-turtle,0,11,9
pet-sheep.pet-ladybug.pet-rabbit,pet-duck.pet-worm.pet-ant,0,7,6
pet-fly.pet-scorpion.pet-none,pet-dirty-rat.pet-cow.pet-peacock,0,11,7
pet-pig.pet-sloth.pet-dolphin,pet-deer.pet-crab.pet-fish,1,6,7
pet-crab.pet-beetle.pet-cow,pet-squirrel.pet-hatching-chick.pet-cat,0,8,13
pet-rooster.pet-monkey.pet-eagle,pet-sheep.pet-snail.pet-bluebird,0,14,7
pet-rabbit.pet-poodle.pet-giraffe,pet-hippo.pet-lobster.pet-parrot,1,11,12
pet-cow.pet-cat.pet-elephant,pet-boar.pet-crab.pet-otter,1,13,9
pet-deer.pet-monkey.pet-turkey,pet-turtle.pet-horse.pet-none,0,14,4
pet-sloth.pet-deer.pet-fish,pet-sloth.pet-pig.pet-cat,0,6,8
pet-dromedary.pet-cow.pet-camel,pet-pig.pet-cricket.pet-swan,0,10,4
pet-bee.pet-rooster.pet-caterpillar,pet-beetle.pet-elephant.pet-sheep,1,7,6
pet-kangaroo.pet-gorilla.pet-dodo,pet-gorilla.pet-dragon.pet-dragon,1,11,18
pet-parrot.pet-chicken.pet-ox,pet-llama.pet-dog.pet-bluebird,0,12,8
pet-fish.pet-snake.pet-bison,pet-sloth.pet-bison.pet-leopard,0,11,11
pet-ant.pet-dirty-rat.pet-rooster,pet-cow.pet-duck.pet-worm,1,5,10
pet-seal.pet-dog.pet-sauropod,pet-kangaroo.pet-boar.pet-caterpillar,1,14,12
pet-dirty-rat.pet-dragon.pet-butterfly,pet-beetle.pet-sheep.pet-bison,0,6,8
pet-dromedary.pet-eagle.pet-dolphin,pet-dirty-rat.pet-sheep.pet-turtle,0,11,6
pet-cricket.pet-scorpion.pet-turtle,pet-crab.pet-chicken.pet-rabbit,1,9,10
pet-bee.pet-sheep.pet-puppy,pet-buffalo.pet-dodo.pet-cricket,1,6,7
pet-rhino.pet-parrot.pet-penguin,pet-crocodile.pet-rabbit.pet-dolphin,1,13,12
pet-snake.pet-beaver.pet-cat,pet-rhino.pet-beaver.pet-owl,2,13,9
pet-dolphin.pet-mammoth.pet-hatching-chick,pet-boar.pet-cricket.pet-dog,1,13,10
pet-ox.pet-shrimp.pet-crab,pet-microbe.pet-tiger.pet-mammoth,2,7,16
pet-rooster.pet-duck.pet-worm,pet-fly.pet-snake.pet-hippo,1,9,16
pet-duck.pet-scorpion.pet-mosquito,pet-microbe.pet-penguin.pet-pig,0,7,9
pet-badger.pet-gorilla.pet-worm,pet-bat.pet-blowfish.pet-gorilla,1,13,11
pet-rabbit.pet-bluebird.pet-monkey,pet-gorilla.pet-snail.pet-sauropod,1,9,15
pet-parrot.pet-ant.pet-turtle,pet-worm.pet-rooster.pet-hedgehog,2,8,10
pet-parrot.pet-turtle.pet-llama,pet-boar.pet-turtle.pet-parrot,1,11,13
pet-sheep.pet-cow.pet-scorpion,pet-lobster.pet-none.pet-skunk,0,13,8
pet-boar.pet-parrot.pet-tiger,pet-hedgehog.pet-turkey.pet-blowfish,0,16,10
pet-beetle.pet-sheep.pet-parrot,pet-butterfly.pet-rooster.pet-scorpion,2,8,9
pet-duck.pet-eagle.pet-bluebird,pet-peacock.pet-octopus.pet-rat,1,7,10
pet-octopus.pet-turtle.pet-sheep,pet-dirty-rat.pet-whale.pet-lobster,0,12,8
pet-hedgehog.pet-fish.pet-squirrel,pet-beaver.pet-beetle.pet-kangaroo,2,7,5
pet-snail.pet-pig.pet-dolphin,pet-beetle.pet-elephant.pet-bat,1,8,5
pet-leopard.pet-dodo.pet-horse,pet-duck.pet-chicken.pet-spider,0,9,8
pet-owl.pet-bee.pet-rat,pet-blowfish.pet-swan.pet-ladybug,0,5,6
pet-cat.pet-duck.pet-squirrel,pet-octopus.pet-dodo.pet-badger,1,11,11
pet-poodle.pet-owl.pet-cat,pet-monkey.pet-crab.pet-peacock,2,14,9
pet-hedgehog.pet-peacock.pet-owl,pet-cricket.pet-leopard.pet-swan,2,7,9
pet-dragon.pet-goat.pet-rabbit,pet-penguin.pet-deer.pet-skunk,2,14,12
pet-mosquito.pet-kangaroo.pet-ant,pet-deer.pet-lobster.pet-crocodile,1,5,13
pet-rat.pet-parrot.pet-llama,pet-tyrannosaurus.pet-llama.pet-monkey,0,10,15
pet-duck.pet-bluebird.pet-ox,pet-buffalo.pet-otter.pet-butterfly,0,5,5
pet-caterpillar.pet-duck.pet-bison,pet-scorpion.pet-rat.pet-badger,2,8,10
pet-chicken.pet-lobster.pet-parrot,pet-blowfish.pet-sheep.pet-rabbit,1,13,9
pet-mosquito.pet-cricket.pet-giraffe,pet-fish.pet-duck.pet-whale,1,5,6
pet-microbe.pet-flamingo.pet-mammoth,pet-blowfish.pet-duck.pet-cricket,1,12,5
pet-cow.pet-turkey.pet-bison,pet-sloth.pet-ox.pet-bluebird,0,14,5
pet-swan.pet-bee.pet-shrimp,pet-gorilla.pet-dirty-rat.pet-beetle,1,4,7
pet-beetle.pet-dolphin.pet-otter,pet-turtle.pet-dromedary.pet-skunk,1,6,9
pet-snail.pet-kangaroo.pet-puppy,pet-turkey.pet-octopus.pet-dolphin,1,9,15
pet-shrimp.pet-mosquito.pet-whale,pet-caterpillar.pet-swan.pet-dirty-rat,0,7,5
pet-dolphin.pet-crocodile.pet-bluebird,pet-blowfish.pet-whale.pet-giraffe,0,10,10
pet-crocodile.pet-eagle.pet-sauropod,pet-camel.pet-mammoth.pet-rabbit,0,16,12
pet-octopus.pet-rabbit.pet-bee,pet-giraffe.pet-sheep.pet-butterfly,1,9,6
pet-monkey.pet-llama.pet-cricket,pet-peacock.pet-crab.pet-camel,1,10,7
pet-deer.pet-sauropod.pet-tyrannosaurus,pet-snail.pet-sloth.pet-tyrannosaurus,0,16,10
pet-parrot.pet-rhino.pet-tropical-fish,pet-otter.pet-ant.pet-butterfly,0,12,2
pet-badger.pet-tropical-fish.pet-caterpillar,pet-chicken.pet-sauropod.pet-bat,1,9,13
pet-bluebird.pet-bee.pet-rat,pet-peacock.pet-monkey.pet-kangaroo,2,3,10
pet-goat.pet-camel.pet-snake,pet-squirrel.pet-dodo.pet-eagle,0,14,11
pet-eagle.pet-buffalo.pet-tropical-fish,pet-bee.pet-lobster.pet-rooster,0,12,8
pet-beaver.pet-llama.pet-beaver,pet-ant.pet-parrot.pet-tropical-fish,1,6,8
pet-cat.pet-penguin.pet-eagle,pet-parrot.pet-dromedary.pet-tabby-cat,0,15,8
pet-beetle.pet-peacock.pet-butterfly,pet-tyrannosaurus.pet-fish.pet-none,0,3,7
pet-sauropod.pet-flamingo.pet-snail,pet-gorilla.pet-camel.pet-dromedary,1,11,11
pet-skunk.pet-snail.pet-owl,pet-hatching-chick.pet-scorpion.pet-badger,2,10,11
pet-camel.pet-hatching-chick.pet-otter,pet-otter.pet-blowfish.pet-peacock,1,7,6
pet-turtle.pet-owl.pet-hippo,pet-dirty-rat.pet-swan.pet-rat,0,10,4
